COD MUNIC.,UF,MUNICIPIO,COMARCA
3540853,SP,PRACINHA,LUCÉLIA
3528007,SP,MACATUBA,MACATUBA
3501152,SP,ALUMINIO,MAIRINQUE
3528403,SP,MAIRINQUE,MAIRINQUE
3528502,SP,MAIRIPORA,MAIRIPORA
3528809,SP,MARACAI,MARACAI
3537156,SP,PEDRINHAS PAULISTA,MARACAI
3513306,SP,CRUZALIA,MARACAÍ
3529005,SP,MARILIA,MARILIA
3533700,SP,OCAUCU,MARÍLIA
3556602,SP,VERA CRUZ,MARÍLIA
3529203,SP,MARTINOPOLIS,MARTINOPOLIS
3520608,SP,INDIANA,MARTINÓPOLIS
3529302,SP,MATAO,MATAO
3514007,SP,DOBRADA,MATÃO
3529401,SP,MAUA,MAUA
3529708,SP,MIGUELOPOLIS,MIGUELOPOLIS
3529906,SP,MIRACATU,MIRACATU
3530102,SP,MIRANDOPOLIS,MIRANDOPOLIS
3517802,SP,GUARACAI,MIRANDÓPOLIS
3526506,SP,LAVINIA,MIRANDÓPOLIS
3530201,SP,MIRANTE DO PARANAPANEMA,MIRANTE DO PARANAPANEMA
3504800,SP,BALSAMO,MIRASSOL
3524501,SP,JACI,MIRASSOL
3530300,SP,MIRASSOL,MIRASSOL
3530409,SP,MIRASSOLANDIA,MIRASSOL
3532504,SP,NEVES PAULISTA,MIRASSOL
3530508,SP,MOCOCA,MOCOCA
3530706,SP,MOGI GUACU,MOGI GUACU
3557303,SP,ESTIVA GERBI,MOGI-GUAÇU
3518305,SP,GUARAREMA,MOJI DAS CRUZES
3506607,SP,BIRITIBA-MIRIM,MOJI DAS CRUZES
3530607,SP,MOJI DAS CRUZES,MOJI DAS CRUZES
3515152,SP,ENGENHEIRO COELHO,MOJI-MIRIM
3519055,SP,HOLAMBRA,MOJI-MIRIM
3503802,SP,ARTUR NOGUEIRA,MOJI-MIRIM
3512209,SP,CONCHAL,MOJI-MIRIM
3530805,SP,MOJI-MIRIM,MOJI-MIRIM
3531100,SP,MONGAGUA,MONGAGUA
3531308,SP,MONTE ALTO,MONTE ALTO
3539004,SP,PIRANGI,MONTE ALTO
3556909,SP,VISTA ALEGRE DO ALTO,MONTE ALTO
3531407,SP,MONTE APRAZIVEL,MONTE APRAZIVEL
3532702,SP,NIPOA,MONTE APRAZIVEL
3539905,SP,POLONI,MONTE APRAZIVEL
3551306,SP,SEBASTIANOPOLIS DO SUL,MONTE APRAZIVEL
3555703,SP,UNIAO PAULISTA,MONTE APRAZIVEL
3528106,SP,MACAUBAL,MONTE APRAZÍVEL
3531506,SP,MONTE AZUL PAULISTA,MONTE AZUL PAULISTA
3535705,SP,PARAISO,MONTE AZUL PAULISTA
3514908,SP,ELIAS FAUSTO,MONTE MOR
3531803,SP,MONTE MOR,MONTE MOR
3531902,SP,MORRO AGUDO,MORRO AGUDO
3515905,SP,FLOREAL,NHANDEARA
3516804,SP,GASTAO VIDIGAL,NHANDEARA
3528304,SP,MAGDA,NHANDEARA
3531001,SP,MONCOES,NHANDEARA
3532603,SP,NHANDEARA,NHANDEARA
3533304,SP,NOVA LUZITANIA,NHANDEARA
3519808,SP,ICEM,NOVA GRANADA
3533007,SP,NOVA GRANADA,NOVA GRANADA
3534005,SP,ONDA VERDE,NOVA GRANADA
3533403,SP,NOVA ODESSA,NOVA ODESSA
3521903,SP,ITAJOBI,NOVO HORIZONTE
3528858,SP,MARAPOAMA,NOVO HORIZONTE
3533502,SP,NOVO HORIZONTE,NOVO HORIZONTE
3533601,SP,NUPORANGA,NUPORANGA
3544905,SP,SALES OLIVEIRA,NUPORANGA
3500907,SP,ALTAIR,OLIMPIA
3509304,SP,CAJOBI,OLIMPIA
3533908,SP,OLIMPIA,OLIMPIA
3514957,SP,EMBAUBA,OLÍMPIA
3517901,SP,GUARACI,OLÍMPIA
3551900,SP,SEVERINIA,OLÍMPIA
3534302,SP,ORLANDIA,ORLANDIA
3534401,SP,OSASCO,OSASCO
3534609,SP,OSVALDO CRUZ,OSVALDO CRUZ
3536000,SP,PARAPUA,OSVALDO CRUZ
3544707,SP,SAGRES,OSVALDO CRUZ
3545100,SP,SALMOURAO,OSVALDO CRUZ
3534708,SP,OURINHOS,OURINHOS
3543204,SP,RIBEIRAO DO SUL,OURINHOS
3545407,SP,SALTO GRANDE,OURINHOS
3534906,SP,PACAEMBU,PACAEMBU
3515806,SP,FLORA RICA,PACAEMBÚ
3521606,SP,IRAPURU,PACAEMBÚ
3535002,SP,PALESTINA,PALESTINA
3502606,SP,APARECIDA D'OESTE,PALMEIRA D'OESTE
3529104,SP,MARINOPOLIS,PALMEIRA D'OESTE
3535200,SP,PALMEIRA D'OESTE,PALMEIRA D'OESTE
3549003,SP,SAO FRANCISCO,PALMEIRA D'OESTE
3509809,SP,CAMPOS NOVOS PAULISTA,PALMITAL
3519501,SP,IBIRAREMA,PALMITAL
3535309,SP,PALMITAL,PALMITAL
3539707,SP,PLATINA,PALMITAL
3535408,SP,PANORAMA,PANORAMA
3536406,SP,PAULICEIA,PANORAMA
3547106,SP,SANTA MERCEDES,PANORAMA
3507209,SP,BORA,PARAGUACU PAULISTA
3527900,SP,LUTECIA,PARAGUACU PAULISTA
3534500,SP,OSCAR BRESSANE,PARAGUACU PAULISTA
3535507,SP,PARAGUACU PAULISTA,PARAGUACU PAULISTA
3532306,SP,NATIVIDADE DA SERRA,PARAIBUNA
3535606,SP,PARAIBUNA,PARAIBUNA
3536307,SP,PATROCINIO PAULISTA,PATROCINIO PAULISTA
3523701,SP,ITIRAPUA,PATROCÍNIO PAULISTA
3534203,SP,ORINDIUVA,PAULO DE FARIA
3536604,SP,PAULO DE FARIA,PAULO DE FARIA
3544202,SP,RIOLANDIA,PAULO DE FARIA
3507308,SP,BORACEIA,PEDERNEIRAS
3536703,SP,PEDERNEIRAS,PEDERNEIRAS
3525409,SP,JERIQUARA,PEDREGULHO
3537008,SP,PEDREGULHO,PEDREGULHO
3543600,SP,RIFAINA,PEDREGULHO
3537107,SP,PEDREIRA,PEDREIRA
3501103,SP,ALTO ALEGRE,PENAPOLIS
3504404,SP,AVANHANDAVA,PENAPOLIS
3505104,SP,BARBOSA,PENAPOLIS
3507704,SP,BRAUNA,PENAPOLIS
3527702,SP,LUIZIANIA,PENAPOLIS
3537305,SP,PENAPOLIS,PENAPOLIS
3517109,SP,GLICERIO,PENÁPOLIS
3537404,SP,PEREIRA BARRETO,PEREIRA BARRETO
3552304,SP,SUD MENNUCCI,PEREIRA BARRETO
3552551,SP,SUZANAPOLIS,PEREIRA BARRETO
3537602,SP,PERUIBE,PERUIBE
